common_name,scientific_name,start_s,end_s,confidence,label,file_index,filename,file_stem,recording_date,recording_start_time,absolute_timestamp,species,timestamp,confidence,status,geographic_valid,temporal_valid,habitat_valid,weather_score,rejection_reason,review_notes,overall_score,ebird_frequency,gbif_occurrences
Spotted Crake,Porzana porzana,405.0,408.0,0.8847758769989014,Porzana porzana_Spotted Crake,1,245AAA0563ED3DA7_20251013_113753.WAV,245AAA0563ED3DA7_20251013_113753,2025-10-13,11:37:53,2025-10-13 11:44:38,Spotted Crake,2025-10-13 11:44:38,0.8847758769989014,REVIEW,True,True,True,,,['eBird validation skipped (no API key); GBIF: Porzana porzana has no recorded occurrences in 50.0km radius for month 10 (last 10 years)'],0.6769551753997802,,0
Spotted Crake,Porzana porzana,408.0,411.0,0.3844452798366546,Porzana porzana_Spotted Crake,1,245AAA0563ED3DA7_20251013_113753.WAV,245AAA0563ED3DA7_20251013_113753,2025-10-13,11:37:53,2025-10-13 11:44:41,Spotted Crake,2025-10-13 11:44:41,0.3844452798366546,REVIEW,True,True,True,,,['eBird validation skipped (no API key); GBIF: Porzana porzana has no recorded occurrences in 50.0km radius for month 10 (last 10 years)'],0.576889055967331,,0
Spotted Crake,Porzana porzana,411.0,414.0,0.2618685364723205,Porzana porzana_Spotted Crake,1,245AAA0563ED3DA7_20251013_113753.WAV,245AAA0563ED3DA7_20251013_113753,2025-10-13,11:37:53,2025-10-13 11:44:44,Spotted Crake,2025-10-13 11:44:44,0.2618685364723205,REVIEW,True,True,True,,,['eBird validation skipped (no API key); GBIF: Porzana porzana has no recorded occurrences in 50.0km radius for month 10 (last 10 years)'],0.5523737072944641,,0
Spotted Crake,Porzana porzana,414.0,417.0,0.8648181557655334,Porzana porzana_Spotted Crake,1,245AAA0563ED3DA7_20251013_113753.WAV,245AAA0563ED3DA7_20251013_113753,2025-10-13,11:37:53,2025-10-13 11:44:47,Spotted Crake,2025-10-13 11:44:47,0.8648181557655334,REVIEW,True,True,True,,,['eBird validation skipped (no API key); GBIF: Porzana porzana has no recorded occurrences in 50.0km radius for month 10 (last 10 years)'],0.6729636311531066,,0
Spotted Crake,Porzana porzana,420.0,423.0,0.452371746301651,Porzana porzana_Spotted Crake,1,245AAA0563ED3DA7_20251013_113753.WAV,245AAA0563ED3DA7_20251013_113753,2025-10-13,11:37:53,2025-10-13 11:44:53,Spotted Crake,2025-10-13 11:44:53,0.452371746301651,REVIEW,True,True,True,,,['eBird validation skipped (no API key); GBIF: Porzana porzana has no recorded occurrences in 50.0km radius for month 10 (last 10 years)'],0.5904743492603302,,0
Spotted Crake,Porzana porzana,426.0,429.0,0.9768138527870178,Porzana porzana_Spotted Crake,1,245AAA0563ED3DA7_20251013_113753.WAV,245AAA0563ED3DA7_20251013_113753,2025-10-13,11:37:53,2025-10-13 11:44:59,Spotted Crake,2025-10-13 11:44:59,0.9768138527870178,REVIEW,True,True,True,,,['eBird validation skipped (no API key); GBIF: Porzana porzana has no recorded occurrences in 50.0km radius for month 10 (last 10 years)'],0.6953627705574036,,0
Spotted Crake,Porzana porzana,435.0,438.0,0.7020953893661499,Porzana porzana_Spotted Crake,1,245AAA0563ED3DA7_20251013_113753.WAV,245AAA0563ED3DA7_20251013_113753,2025-10-13,11:37:53,2025-10-13 11:45:08,Spotted Crake,2025-10-13 11:45:08,0.7020953893661499,REVIEW,True,True,True,,,['eBird validation skipped (no API key); GBIF: Porzana porzana has no recorded occurrences in 50.0km radius for month 10 (last 10 years)'],0.6404190778732299,,0
Spotted Crake,Porzana porzana,438.0,441.0,0.64444500207901,Porzana porzana_Spotted Crake,1,245AAA0563ED3DA7_20251013_113753.WAV,245AAA0563ED3DA7_20251013_113753,2025-10-13,11:37:53,2025-10-13 11:45:11,Spotted Crake,2025-10-13 11:45:11,0.64444500207901,REVIEW,True,True,True,,,['eBird validation skipped (no API key); GBIF: Porzana porzana has no recorded occurrences in 50.0km radius for month 10 (last 10 years)'],0.628889000415802,,0
Spotted Crake,Porzana porzana,441.0,444.0,0.8857829570770264,Porzana porzana_Spotted Crake,1,245AAA0563ED3DA7_20251013_113753.WAV,245AAA0563ED3DA7_20251013_113753,2025-10-13,11:37:53,2025-10-13 11:45:14,Spotted Crake,2025-10-13 11:45:14,0.8857829570770264,REVIEW,True,True,True,,,['eBird validation skipped (no API key); GBIF: Porzana porzana has no recorded occurrences in 50.0km radius for month 10 (last 10 years)'],0.6771565914154053,,0
Spotted Crake,Porzana porzana,444.0,447.0,0.6885205507278442,Porzana porzana_Spotted Crake,1,245AAA0563ED3DA7_20251013_113753.WAV,245AAA0563ED3DA7_20251013_113753,2025-10-13,11:37:53,2025-10-13 11:45:17,Spotted Crake,2025-10-13 11:45:17,0.6885205507278442,REVIEW,True,True,True,,,['eBird validation skipped (no API key); GBIF: Porzana porzana has no recorded occurrences in 50.0km radius for month 10 (last 10 years)'],0.6377041101455688,,0
Spotted Crake,Porzana porzana,447.0,450.0,0.9700639843940736,Porzana porzana_Spotted Crake,1,245AAA0563ED3DA7_20251013_113753.WAV,245AAA0563ED3DA7_20251013_113753,2025-10-13,11:37:53,2025-10-13 11:45:20,Spotted Crake,2025-10-13 11:45:20,0.9700639843940736,REVIEW,True,True,True,,,['eBird validation skipped (no API key); GBIF: Porzana porzana has no recorded occurrences in 50.0km radius for month 10 (last 10 years)'],0.6940127968788148,,0
Spotted Crake,Porzana porzana,471.0,474.0,0.3252573907375335,Porzana porzana_Spotted Crake,1,245AAA0563ED3DA7_20251013_113753.WAV,245AAA0563ED3DA7_20251013_113753,2025-10-13,11:37:53,2025-10-13 11:45:44,Spotted Crake,2025-10-13 11:45:44,0.3252573907375335,REVIEW,True,True,True,,,['eBird validation skipped (no API key); GBIF: Porzana porzana has no recorded occurrences in 50.0km radius for month 10 (last 10 years)'],0.5650514781475067,,0
